,dsp_toxins,asp_toxins,psp_toxins
2018-07-01,550.0,1.8,71.0
2018-07-08,550.0,1.8,71.0
2018-07-15,550.0,1.8,71.0
2018-07-22,550.0,1.8,71.0
2018-07-29,287.0,1.8,71.0
2018-08-05,383.0,1.8,71.0
2018-08-12,573.0,1.8,71.0
2018-08-19,219.0,1.8,71.0
2018-08-26,173.0,1.8,71.0
2018-09-02,373.0,1.8,71.0
2018-09-09,108.0,1.8,71.0
2018-09-16,147.0,1.8,108.0
2018-09-23,,,79.125
2018-09-30,43.0,1.8,71.0
2018-10-07,,,75.78571428571429
2018-10-14,28.0,1.8,99.0
2018-10-21,26.0,1.8,71.0
2018-10-28,38.0,1.8,39.5
2018-11-04,,,70.5
2018-11-11,36.0,1.8,71.0
2018-11-18,22.0,1.8,71.0
2018-11-25,,,66.5
2018-12-02,52.0,1.8,71.0
2018-12-09,,,71.0
2018-12-16,202.0,1.8,71.0
2018-12-23,159.33333333333334,1.8,71.0
2018-12-30,36.0,1.8,71.0
2019-01-06,36.0,1.8,71.0
2019-01-13,,,71.0
2019-01-20,71.0,1.8,71.0
2019-01-27,,,71.0
2019-02-03,22.0,1.8,71.0
2019-02-10,,,71.0
2019-02-17,36.0,1.8,71.0
2019-02-24,,,71.0
2019-03-03,36.0,1.8,71.0
2019-03-10,,,71.0
2019-03-17,36.0,1.8,71.0
2019-03-24,,,66.66666666666667
2019-03-31,36.0,23.0,71.0
2019-04-07,80.0,4.5,71.0
2019-04-14,,,66.66666666666667
2019-04-21,87.0,1.8,45.0
2019-04-28,,,67.28571428571429
2019-05-05,36.0,1.8,71.0
2019-05-12,36.0,1.8,71.0
2019-05-19,36.0,2.0,71.0
2019-05-26,138.0,13.0,71.0
2019-06-02,138.0,10.0,71.0
2019-06-09,192.0,1.8,71.0
2019-06-16,259.0,1.8,71.0
2019-06-23,137.0,1.8,71.0
2019-06-30,81.0,1.8,71.0
2019-07-07,153.0,1.8,71.0
2019-07-14,227.0,1.8,71.0
2019-07-21,142.5,1.8,71.0
2019-07-28,883.0,1.8,71.0
2019-08-04,264.0,1.8,71.0
2019-08-11,147.0,1.8,71.0
2019-08-18,152.0,1.8,71.0
2019-08-25,170.0,1.8,71.0
2019-09-01,550.0,1.8,71.0
2019-09-08,336.0,1.8,71.0
2019-09-15,550.0,1.8,71.0
2019-09-22,196.0,1.8,71.0
2019-09-29,164.5,1.8,71.0
2019-10-06,373.3333333333333,2.4,71.0
2019-10-13,275.0,,71.0
2019-10-20,470.6666666666667,1.8,71.0
2019-10-27,,,71.0
2019-11-03,298.0,1.8,71.0
2019-11-10,452.0,1.8,71.0
2019-11-17,141.0,2.9,71.0
2019-11-24,36.0,,71.0
2019-12-01,36.0,3.0,71.0
2019-12-08,36.0,4.0,71.0
2019-12-15,36.0,1.8,71.0
2019-12-22,58.0,1.8,71.0
2019-12-29,36.0,1.8,71.0
2020-01-05,66.0,1.8,71.0
2020-01-12,,,71.0
2020-01-19,36.0,2.0,71.0
2020-01-26,36.0,1.8,71.0
2020-02-02,122.0,1.8,71.0
2020-02-09,,,71.0
2020-02-16,166.0,1.8,71.0
2020-02-23,,,71.0
2020-03-01,138.0,1.9,71.0
2020-03-08,58.0,1.8,71.0
2020-03-15,85.0,3.4,71.0
2020-03-22,,,71.0
2020-03-29,,,71.0
2020-04-05,36.0,1.8,71.0
2020-04-12,,,71.0
2020-04-19,36.0,1.8,71.0
2020-04-26,,,71.0
2020-05-03,36.0,1.8,71.0
2020-05-10,,,71.0
2020-05-17,76.0,1.8,71.0
2020-05-24,158.0,1.8,71.0
2020-05-31,62.0,1.8,71.0
2020-06-07,555.0,1.8,71.0
2020-06-14,308.0,1.8,71.0
2020-06-21,67.0,1.8,71.0
2020-06-28,102.5,2.0,71.0
2020-07-05,,,71.0
2020-07-12,116.0,1.8,71.0
2020-07-19,,,71.0
2020-07-26,78.0,1.8,71.0
2020-08-02,58.0,1.8,71.0
2020-08-09,52.0,1.8,71.0
2020-08-16,,,71.0
2020-08-23,36.0,1.8,71.0
2020-08-30,36.0,1.8,71.0
2020-09-06,119.0,1.8,71.0
2020-09-13,93.0,1.8,71.0
2020-09-20,162.0,1.8,71.0
2020-09-27,189.33333333333334,1.8,71.0
2020-10-04,,,71.0
2020-10-11,97.5,1.8,71.0
2020-10-18,36.0,,71.0
2020-10-25,36.0,1.8,71.0
2020-11-01,235.0,1.8,71.0
2020-11-08,62.0,1.8,71.0
2020-11-15,36.0,1.8,71.0
2020-11-22,173.0,1.8,71.0
2020-11-29,104.5,1.8,71.0
2020-12-06,75.5,1.8,71.0
2020-12-13,36.0,1.8,71.0
2020-12-20,36.0,,71.0
2020-12-27,36.0,1.8,71.0
2021-01-03,36.0,1.8,71.0
